"id";"name";"season";"episode";"lastViewed";"status"
1;"Arrow";"07";"16";"2019-03-19";"It's been 8 days."
2;"The OA";"2";"8";"2019-03-20";"It's been 7 days."
3;"Project Blue Book";"1";"10";"2019-02-06";"It's been 1 month, 21 days."
4;"The Exapanse";"3";"13";"2019-03-25";"It's been 2 days."
5;"Black Mirror";"4";"6";"2018-01-02";"It's been 1 year, 2 months, 25 days."
6;"Blindspot";"4";"17";"2019-03-26";"It's been 1 day."
8;"Brooklyn Nine-Nine";"6";"12";"2019-03-26";"It's been 1 day."
9;"Doctor Who";"12";"0";"2019-01-02";"It's been 2 months, 25 days."
10;"Grimm";"5";"8";"2019-03-26";"It's been 1 day."
11;"Humans";"3";"8";"2019-03-26";"It's been 1 day."
12;"Travelers";"3";"10";"2019-03-26";"It's been 1 day."
13;"Im Sorry";"3";"1";"2019-03-27";"You've just watched it!"
